trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Leaf Area,Ammophila arenaria,70,866.6969232447619,828.22,335.97551693858486,421.80499999999995,6
Leaf Area,Amphicarpa bracteata,13,22.307815384615385,20.6,9.423901141941002,9.856299999999997,2
Leaf Area,Anacamptis palustris,15,715.18,725,194.83215193743416,263.75,0
Leaf Area,Anacyclus clavatus,10,93.09,80.775,61.41888869793143,9.387500000000003,4
Leaf Area,Anchusa barrellieri,15,7653.826666666667,2008.6,9493.934447128911,11478.3,3
Leaf Area,Andromeda polifolia,18,35.64076585222222,36.017849115000004,11.461785197947439,18.362924999999997,0
Leaf Area,Andropogon gerardii,140,23.396874006211178,13.312249999999999,74.836684235938975,13.859450000000002,16
Leaf Area,Andropogon virginicus,89,18.062853932584268,9.872,70.54774574785095,5.119,5
Leaf Area,Androsace obtusifolia,15,12.489651926666667,13.2918396,2.858998883244655,4.187984100000001,1
Leaf Area,Androsace septentrionalis,20,0.5597933333333334,0.29969999999999997,0.9011116063074152,0.47209999999999996,1
Leaf Area,Anemone hepatica,206,1726.6091237864077,1459.911,1100.720269176402,1545.4559999999997,7
Leaf Area,Anemone nemorosa,10,916.3049,532.2270000000001,990.2637521328962,1873.3145000000002,0
Leaf Area,Anemone quinquefolia,12,6.79775,5.188,3.857362164979869,6.810950000000002,0
Leaf Area,Anemone sylvestris,10,1456.37,1261.5,772.995325629104,1149.8999999999999,0
Leaf Area,Anemone virginiana,16,815.928125,69.905,2053.1087611659177,42.152499999999996,2
Leaf Area,Angelica grayi,11,1360.75,1255.4,1124.681173711021,1485,1
Leaf Area,Antennaria alpina,44,30.86059521483165,26.82273311,12.851671101741855,10.644444444444446,6
Leaf Area,Antennaria dioica,67,52.71005310437811,45.1,30.768582535678288,19.356963335000003,10
Leaf Area,Antennaria parvifolia,25,0.451832,0.342125,0.21972877890045114,0.2782,2
Leaf Area,Antennaria rosulata,21,0.29356666666666664,0.2932,0.07810424657682406,0.1122,0
Leaf Area,Anthemis arvensis,170,120.70764705882353,70.35,120.1130224664609,126.85,21
Leaf Area,Anthemis maritima,241,115.50721991701245,101.95,64.1994554441256,69.53000000000002,18
Leaf Area,Anthoxanthum odoratum,225,997.6241550327555,92.7,2447.093266390574,534.8480000000001,48
Leaf Area,Anthriscus cerefolium,15,2557.4106666666667,2496.33,1006.1027862675056,1053.5,1
Leaf Area,Anthriscus sylvestris,56,2586.107526785714,6.795999999999999,5306.407933835466,2718.23975,11
Leaf Area,Anthyllis cornicina,60,172.22833333333332,153.89999999999998,77.74321288522565,97.03750000000001,6
Leaf Area,Anthyllis sp,10,172.483333337,168.5566667,51.675975824062206,64.62999997499998,0
Leaf Area,Anthyllis vulneraria,16,427.5746875,414.53499999999997,144.55437096433934,149.995,2
Leaf Area,Anthyllis vulneraria subsp. polyphylla,10,1693.45,1631.75,192.43273716634945,174.875,2
Leaf Area,Aphanes arvensis,16,48.178125,43.1,15.861346398819155,14.072499999999998,3
Leaf Area,Apocynum cannabinum,22,15.886909090909091,15.168,7.815827737958228,8.05,2
Leaf Area,Arabidopsis lyrata,11,41.94406363636364,1.9963,49.71560201569066,89.18159999999999,0
Leaf Area,Arabis alpina,15,458.25424641333336,113.419194,547.80282007973,939.13122145,1
